Name;FSH4Remote - 1.2.0;
Date;02.06.2021;
Time;12:21:07;
Instrument;FSC3 - 1314.3006K13/100757;
Firmware Version;V2.22;
Instrument Mode;Spectrum;
Meas Mode;Spectrum;
Channel Table;- - -;
Channel;- - -;
Center Frequency;4e+07;Hz;
Frequency Offset;0;Hz;
Span;2e+07;Hz;
Ref Level;-20;dBm;
Ref Offset;0;dB;
Ref Position;1;
Range;100;dB;
RF Attenuation;Auto Low Distortion;
RF Attenuator;0;dB;
Preamplifier;- - -;
RF Input;50 Ohm;
RBW;10000;Hz;
VBW;100000;Hz;
SWT;0.885;s;
Trigger Mode;Free Run;
Trigger Level;- - -;
Trigger Delay;- - -;
Trace Mode;Clear / Write;
Trace Math;Off;
Trace Detector;RMS;
Limit Line 1;- - -;
Limit Line 2;- - -;
Primary Transducer;- - -;
Secondary Transducer;- - -;
Gated Trigger;Off;
Gate Mode;Edge;
Gate Delay;0;s;
Gate Length;0;s;
Isotropic Antenna;;
Operator;- - -;
Result Limit Line 1;- - -;
Result Limit Line 2; - - -;
Average Count;- - -;


Freq. [Hz];Magnitude [dBm];
30000000.000000;-86.140587;
30031746.031746;-87.954712;
30063492.063492;-101.219093;
30095238.095238;-98.918724;
30126984.126984;-94.231705;
30158730.158730;-91.938469;
30190476.190476;-92.559059;
30222222.222222;-98.578995;
30253968.253968;-91.519257;
30285714.285714;-87.557556;
30317460.317460;-83.127167;
30349206.349206;-90.415550;
30380952.380952;-94.477051;
30412698.412698;-95.082008;
30444444.444444;-81.056587;
30476190.476190;-79.057518;
30507936.507937;-89.947266;
30539682.539683;-88.872131;
30571428.571429;-89.905052;
30603174.603175;-84.280235;
30634920.634921;-81.064583;
30666666.666667;-95.036919;
30698412.698413;-93.661789;
30730158.730159;-91.170013;
30761904.761905;-81.495445;
30793650.793651;-85.000641;
30825396.825397;-90.738228;
30857142.857143;-89.466949;
30888888.888889;-87.565575;
30920634.920635;-78.410690;
30952380.952381;-81.027000;
30984126.984127;-96.413216;
31015873.015873;-92.164169;
31047619.047619;-91.619850;
31079365.079365;-81.542572;
31111111.111111;-84.256332;
31142857.142857;-85.330185;
31174603.174603;-90.282417;
31206349.206349;-84.640427;
31238095.238095;-80.827248;
31269841.269841;-89.254410;
31301587.301587;-92.274506;
31333333.333333;-99.029671;
31365079.365079;-81.116997;
31396825.396825;-80.353889;
31428571.428571;-87.807716;
31460317.460317;-85.409241;
31492063.492063;-90.302719;
31523809.523810;-74.922821;
31555555.555556;-74.650200;
31587301.587302;-89.380562;
31619047.619048;-95.031731;
31650793.650794;-82.496124;
31682539.682540;-72.402039;
31714285.714286;-75.802650;
31746031.746032;-90.791397;
31777777.777778;-94.668854;
31809523.809524;-81.235184;
31841269.841270;-74.131012;
31873015.873016;-77.768211;
31904761.904762;-88.267433;
31936507.936508;-84.195549;
31968253.968254;-77.954460;
32000000.000000;-77.152328;
32031746.031746;-82.018333;
32063492.063492;-86.960274;
32095238.095238;-92.423347;
32126984.126984;-78.523720;
32158730.158730;-72.587181;
32190476.190476;-80.298859;
32222222.222222;-85.499130;
32253968.253968;-84.969757;
32285714.285714;-75.415642;
32317460.317460;-72.915977;
32349206.349206;-79.105621;
32380952.380952;-84.643211;
32412698.412698;-81.581192;
32444444.444444;-73.203781;
32476190.476190;-73.003487;
32507936.507937;-85.454361;
32539682.539683;-82.688774;
32571428.571429;-82.537209;
32603174.603175;-71.381012;
32634920.634921;-72.729752;
32666666.666667;-83.178192;
32698412.698413;-86.760162;
32730158.730159;-77.827713;
32761904.761905;-72.542732;
32793650.793651;-76.528511;
32825396.825397;-84.635529;
32857142.857143;-84.305229;
32888888.888889;-77.728973;
32920634.920635;-72.500862;
32952380.952381;-76.696419;
32984126.984127;-90.537796;
33015873.015873;-83.383354;
33047619.047619;-77.702385;
33079365.079365;-71.305923;
33111111.111111;-76.109596;
33142857.142857;-87.714401;
33174603.174603;-85.904709;
33206349.206349;-72.327118;
33238095.238095;-69.669456;
33269841.269841;-79.298820;
33301587.301587;-80.757462;
33333333.333333;-85.709770;
33365079.365079;-71.679329;
33396825.396825;-71.356323;
33428571.428571;-79.064110;
33460317.460317;-83.743423;
33492063.492063;-78.861176;
33523809.523810;-73.263031;
33555555.555556;-73.969208;
33587301.587302;-82.591805;
33619047.619048;-86.787361;
33650793.650794;-74.419044;
33682539.682540;-71.866005;
33714285.714286;-74.601051;
33746031.746032;-76.242821;
33777777.777778;-75.262215;
33809523.809524;-73.339836;
33841269.841270;-73.639420;
33873015.873016;-76.255447;
33904761.904762;-73.627335;
33936507.936508;-74.267754;
33968253.968254;-74.175568;
34000000.000000;-74.665115;
34031746.031746;-76.256889;
34063492.063492;-77.825653;
34095238.095238;-75.259346;
34126984.126984;-73.589478;
34158730.158730;-76.453217;
34190476.190476;-83.663177;
34222222.222222;-78.167046;
34253968.253968;-76.283661;
34285714.285714;-74.023865;
34317460.317460;-74.913818;
34349206.349206;-77.369530;
34380952.380952;-76.874321;
34412698.412698;-80.881828;
34444444.444444;-75.589500;
34476190.476190;-73.372169;
34507936.507937;-75.303978;
34539682.539683;-79.525520;
