Name;FSH4Remote - 1.2.0;
Date;02.06.2021;
Time;12:41:17;
Instrument;FSC3 - 1314.3006K13/100757;
Firmware Version;V2.22;
Instrument Mode;Spectrum;
Meas Mode;Spectrum;
Channel Table;- - -;
Channel;- - -;
Center Frequency;1,63E+11;Hz
Frequency Offset;0;Hz
Span;7.5e+07;Hz
Ref Level;-20;dBm
Ref Offset;0;dB
Ref Position;1;
Range;100;dB
RF Attenuation;Auto Low Distortion;
RF Attenuator;0;dB
Preamplifier;- - -;
RF Input;50 Ohm;
RBW;10000;Hz
VBW;100000;Hz
SWT;3.14;s
Trigger Mode;Free Run;
Trigger Level;- - -;
Trigger Delay;- - -;
Trace Mode;Average;
Trace Math;Off;
Trace Detector;RMS;
Limit Line 1;- - -;
Limit Line 2;- - -;
Primary Transducer;- - -;
Secondary Transducer;- - -;
Gated Trigger;Off;
Gate Mode;Edge;
Gate Delay;0;s
Gate Length;0;s
Isotropic Antenna;;
Operator;- - -;
Result Limit Line 1;- - -;
Result Limit Line 2; - - -;
Average Count;- - -;
;;
;;
Freq. [Hz];Magnitude [dBm];
125.000.000.000.000;-90.042.679;
125.119.047.619.048;-100.721.649;
125.238.095.238.095;-101.839.584;
125.357.142.857.143;-102.262.253;
125.476.190.476.190;-103.345.375;
125.595.238.095.238;-101.938.316;
125.714.285.714.286;-99.159.561;
125.833.333.333.333;-102.395.958;
125.952.380.952.381;-100.173.874;
126.071.428.571.429;-100.425.957;
126.190.476.190.476;-100.742.355;
126.309.523.809.524;-100.015.518;
126.428.571.428.571;-101.881.210;
126.547.619.047.619;-100.204.269;
126.666.666.666.667;-101.062.279;
126.785.714.285.714;-99.438.416;
126.904.761.904.762;-99.437.424;
127.023.809.523.810;-98.228.050;
127.142.857.142.857;-100.284.233;
127.261.904.761.905;-99.424.370;
127.380.952.380.952;-100.476.700;
127.500.000.000.000;-99.502.014;
127.619.047.619.048;-100.167.351;
127.738.095.238.095;-100.679.695;
127.857.142.857.143;-99.442.245;
127.976.190.476.190;-100.071.693;
128.095.238.095.238;-100.183.815;
128.214.285.714.286;-101.669.968;
128.333.333.333.333;-100.012.085;
128.452.380.952.381;-100.244.080;
128.571.428.571.429;-101.031.799;
128.690.476.190.476;-101.936.523;
128.809.523.809.524;-100.111.305;
128.928.571.428.571;-100.940.483;
129.047.619.047.619;-101.271.416;
129.166.666.666.667;-98.013.466;
129.285.714.285.714;-100.428.810;
129.404.761.904.762;-100.009.201;
129.523.809.523.810;-100.377.541;
129.642.857.142.857;-99.768.547;
129.761.904.761.905;-98.142.883;
129.880.952.380.952;-99.596.207;
130.000.000.000.000;-99.832.672;
130.119.047.619.048;-99.708.244;
130.238.095.238.095;-94.077.057;
130.357.142.857.143;-97.677.162;
130.476.190.476.190;-99.670.898;
130.595.238.095.238;-98.488.739;
130.714.285.714.286;-98.848.351;
130.833.333.333.333;-100.762.230;
130.952.380.952.381;-98.146.286;
131.071.428.571.429;-101.211.777;
131.190.476.190.476;-100.730.293;
131.309.523.809.524;-100.205.849;
131.428.571.428.571;-99.884.026;
131.547.619.047.619;-99.721.321;
131.666.666.666.667;-98.495.338;
131.785.714.285.714;-100.913.406;
131.904.761.904.762;-100.576.447;
132.023.809.523.810;-99.955.605;
132.142.857.142.857;-99.988.754;
132.261.904.761.905;-100.308.067;
132.380.952.380.952;-97.665.619;
132.500.000.000.000;-100.205.727;
132.619.047.619.048;-100.601.364;
132.738.095.238.095;-97.246.414;
132.857.142.857.143;-98.819.893;
132.976.190.476.190;-98.870.865;
133.095.238.095.238;-98.607.628;
133.214.285.714.286;-98.041.069;
133.333.333.333.333;-100.715.599;
133.452.380.952.381;-101.404.808;
133.571.428.571.429;-98.650.490;
133.690.476.190.476;-97.674.049;
133.809.523.809.524;-98.697.006;
133.928.571.428.571;-98.397.858;
134.047.619.047.619;-99.197.823;
134.166.666.666.667;-99.694.527;
134.285.714.285.714;-98.213.150;
134.404.761.904.762;-98.484.451;
134.523.809.523.810;-97.655.708;
134.642.857.142.857;-98.210.907;
134.761.904.761.905;-99.278.931;
134.880.952.380.952;-100.266.479;
135.000.000.000.000;-99.732.170;
135.119.047.619.048;-95.823.997;
135.238.095.238.095;-95.830.734;
135.357.142.857.143;-99.860.397;
135.476.190.476.190;-102.350.029;
135.595.238.095.238;-99.149.628;
135.714.285.714.286;-99.715.302;
135.833.333.333.333;-100.740.547;
135.952.380.952.381;-100.588.333;
136.071.428.571.429;-99.180.000;
136.190.476.190.476;-99.095.871;
136.309.523.809.524;-101.287.575;
136.428.571.428.571;-101.872.528;
136.547.619.047.619;-102.128.036;
136.666.666.666.667;-100.682.343;
136.785.714.285.714;-101.342.110;
136.904.761.904.762;-99.801.315;
137.023.809.523.810;-100.251.595;
137.142.857.142.857;-94.956.284;
137.261.904.761.905;-101.830.704;
137.380.952.380.952;-101.081.047;
137.500.000.000.000;-96.739.281;
137.619.047.619.048;-102.210.526;
137.738.095.238.095;-100.451.920;
137.857.142.857.143;-101.270.149;
137.976.190.476.190;-102.831.543;
138.095.238.095.238;-102.690.109;
138.214.285.714.286;-101.514.999;
